Price,Address,City,State,Postal,Floor Size,Longitude,Latitude,URL
"$950,000",12522 Wexcroft Ln #279,Alpharetta,GA,30009,3898,34.073486,-84.28944,https://www.zillow.com/homedetails/12522-Wexcroft-Ln-279-Alpharetta-GA-30009/2084286657_zpid/
"$292,000",1829 Potomac Pl,Douglasville,GA,30134,1686,33.758656,-84.82545,https://www.zillow.com/homedetails/1829-Potomac-Pl-Douglasville-GA-30134/49836410_zpid/
"$280,000",1138 Reed Ct,Monroe,GA,30655,1064,33.79755,-83.73329,https://www.zillow.com/homedetails/1138-Reed-Ct-Monroe-GA-30655/49904146_zpid/
"$425,000",105 Wexford Way,Peachtree City,GA,30269,2451,33.38601,-84.56161,https://www.zillow.com/homedetails/105-Wexford-Way-Peachtree-City-GA-30269/14602576_zpid/
"$559,900",1079 Marietta Blvd NW UNIT 7,Atlanta,GA,30318,2100,33.783768,-84.428566,https://www.zillow.com/homedetails/1079-Marietta-Blvd-NW-UNIT-7-Atlanta-GA-30318/71756441_zpid/
"$219,900",181 Gentle Breeze Ct,Temple,GA,30179,1090,33.73597,-85.00285,https://www.zillow.com/homedetails/181-Gentle-Breeze-Ct-Temple-GA-30179/69930593_zpid/
"$275,000",1217 Black Rd,Cleveland,GA,30528,1498,34.58017,-83.715866,https://www.zillow.com/homedetails/1217-Black-Rd-Cleveland-GA-30528/101242281_zpid/
"$90,000",565 Vaughn Rd,Temple,GA,30179,1568,33.70794,-85.05471,https://www.zillow.com/homedetails/565-Vaughn-Rd-Temple-GA-30179/69924843_zpid/
"$259,500",1757 Kimberly Dr SW,Marietta,GA,30008,1645,33.91086,-84.58398,https://www.zillow.com/homedetails/1757-Kimberly-Dr-SW-Marietta-GA-30008/14337554_zpid/
"$350,000",69 Maplewood Ct,Acworth,GA,30101,1502,34.026226,-84.740616,https://www.zillow.com/homedetails/69-Maplewood-Ct-Acworth-GA-30101/237696512_zpid/
"$310,000",2264 August Ct SW,Conyers,GA,30094,2318,33.665306,-84.06193,https://www.zillow.com/homedetails/2264-August-Ct-SW-Conyers-GA-30094/14993527_zpid/
"$310,000",520 Stoney Creek Dr,Winder,GA,30680,1387,34.024258,-83.639,https://www.zillow.com/homedetails/520-Stoney-Creek-Dr-Winder-GA-30680/71750841_zpid/
