RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31
394838,598,"Mason City, IA",msa,IA,134900.0,133000.0,135450.0,144985.0,148500.0,149900.0,147000.0,149900.0,139900.0,139900.0,139790.0,139780.0,139900.0,139950.0,144950.0,150000.0,159900.0,164944.0,154900.0,158500.0,154900.0,149809.0,149250.0,139000.0,139900.0,152900.0,155000.0,159700.0,159713.0,157500.0,150000.0,154900.0,150500.0,140300.0,130979.0,134900.0,147250.0,129900.0,136450.0,149440.0,159000.0,161000.0,157500.0,148500.0,140000.0,139950.0,127400.0,124900.0,130750.0,124950.0,138500.0,152000.0,149950.0,169900.0,169250.0,174700.0,178500.0,165000.0,166500.0,175000.0,175000.0,193250.0,195000.0,198500.0,203000.0,208750.0,214700.0,212063.0,210000.0,205000.0
394717,599,"Jacksonville, TX",msa,TX,219000.0,210000.0,232000.0,225450.0,227450.0,247200.0,244950.0,235000.0,246000.0,239000.0,235000.0,227000.0,225000.0,225000.0,235000.0,235000.0,249839.0,249250.0,239950.0,249700.0,269725.0,275000.0,279450.0,265400.0,259999.0,259000.0,269000.0,259945.0,299900.0,315000.0,320500.0,315000.0,310000.0,315000.0,368500.0,322450.0,299000.0,349900.0,332750.0,333950.0,315000.0,282000.0,275000.0,269750.0,275000.0,270000.0,220000.0,208000.0,214032.0,234900.0,294500.0,321500.0,299000.0,277000.0,262450.0,279000.0,299500.0,299000.0,299900.0,299750.0,299000.0,310000.0,319950.0,340000.0,350500.0,355250.0,319950.0,325000.0,335000.0,333500.0
394625,600,"Galesburg, IL",msa,IL,99500.0,105000.0,110900.0,109450.0,109900.0,114950.0,99500.0,99500.0,98900.0,97500.0,94900.0,99700.0,104000.0,109000.0,107500.0,112500.0,119900.0,112700.0,100000.0,94160.0,89900.0,89900.0,85950.0,89500.0,89900.0,90000.0,104200.0,102000.0,101900.0,100950.0,109000.0,104950.0,99875.0,87750.0,75000.0,79400.0,75000.0,82900.0,85900.0,99900.0,96950.0,99900.0,109950.0,104900.0,111700.0,96900.0,91700.0,93900.0,87950.0,93750.0,110000.0,109900.0,102900.0,102900.0,93700.0,99900.0,112000.0,115000.0,115000.0,112450.0,110000.0,119100.0,122900.0,129950.0,137900.0,122750.0,117200.0,109900.0,110000.0,115000.0
394954,601,"Pahrump, NV",msa,NV,234900.0,239900.0,258500.0,249844.0,265950.0,279450.0,279900.0,279020.0,277170.0,279900.0,279900.0,279900.0,289300.0,279900.0,284950.0,279900.0,277556.0,279900.0,282500.0,289700.0,285000.0,288384.0,285500.0,289900.0,289000.0,290000.0,288500.0,293500.0,289950.0,289900.0,289900.0,289000.0,287710.0,299900.0,295000.0,295000.0,285000.0,294750.0,297000.0,325000.0,359999.0,359999.0,363500.0,369900.0,375000.0,374450.0,370000.0,379900.0,375000.0,389900.0,417000.0,425000.0,425000.0,425000.0,400000.0,399999.0,399839.0,395000.0,379777.0,371250.0,359000.0,353155.0,350000.0,350000.0,360000.0,359000.0,357500.0,359000.0,369450.0,375000.0
394963,602,"Paris, TX",msa,TX,176000.0,177500.0,186902.0,189950.0,192250.0,184900.0,179700.0,185000.0,179000.0,189250.0,189900.0,185000.0,164500.0,185250.0,189500.0,194950.0,189000.0,187500.0,189000.0,185000.0,189900.0,194500.0,187550.0,187200.0,185000.0,179000.0,179000.0,179450.0,179900.0,194999.0,190000.0,185000.0,225000.0,219500.0,205500.0,194950.0,202500.0,189900.0,199950.0,214500.0,214700.0,198050.0,199000.0,220000.0,227000.0,229500.0,220000.0,215300.0,219500.0,224900.0,249950.0,245000.0,240000.0,229280.0,249000.0,240000.0,228750.0,220000.0,226500.0,230000.0,237250.0,259900.0,249500.0,260000.0,269000.0,279950.0,264900.0,269900.0,260000.0,265000.0
395234,603,"Winona, MN",msa,MN,159900.0,159900.0,165000.0,184900.0,199000.0,199500.0,178000.0,178500.0,177000.0,169900.0,174900.0,159900.0,164700.0,169900.0,179900.0,207000.0,214950.0,199900.0,188900.0,198500.0,194900.0,199900.0,180000.0,190000.0,179900.0,189900.0,180000.0,189900.0,197000.0,217450.0,220000.0,218900.0,226950.0,209900.0,197000.0,209950.0,189900.0,214900.0,209900.0,179900.0,219450.0,200000.0,209950.0,199125.0,199900.0,215000.0,217500.0,199450.0,192500.0,194900.0,224900.0,204900.0,204450.0,234850.0,239000.0,239000.0,242900.0,239900.0,232450.0,235000.0,229400.0,228650.0,228900.0,260000.0,237450.0,262200.0,292450.0,274900.0,289000.0,269950.0
753905,604,"Newport, OR",msa,OR,375000.0,389000.0,398876.0,399000.0,399000.0,399000.0,389000.0,399000.0,399000.0,399950.0,409745.0,425000.0,410000.0,425000.0,423800.0,414950.0,410000.0,415000.0,407000.0,405000.0,409500.0,410000.0,409450.0,415000.0,409950.0,420000.0,404500.0,408450.0,399000.0,425000.0,409500.0,421200.0,420950.0,425000.0,424950.0,417000.0,428975.0,425000.0,459000.0,495450.0,525000.0,504975.0,499250.0,500000.0,525000.0,529000.0,525000.0,525000.0,482500.0,491450.0,510000.0,537494.0,548300.0,539000.0,549000.0,552500.0,559900.0,515000.0,519950.0,515000.0,499900.0,520000.0,525000.0,575000.0,569000.0,589000.0,595000.0,570500.0,589000.0,574450.0
394878,605,"Morgan City, LA",msa,LA,138650.0,140000.0,144900.0,143500.0,150000.0,149000.0,149000.0,150000.0,153750.0,157375.0,155000.0,155875.0,158950.0,158000.0,157450.0,154900.0,150000.0,149900.0,154500.0,149900.0,153500.0,149700.0,149900.0,149500.0,149000.0,144000.0,146900.0,147950.0,152500.0,149000.0,152500.0,164750.0,164750.0,155000.0,155000.0,149900.0,147900.0,154500.0,155000.0,155000.0,158000.0,160000.0,161450.0,167000.0,175000.0,179900.0,178950.0,170000.0,174500.0,175000.0,171950.0,178950.0,185000.0,180000.0,168250.0,160000.0,160000.0,165000.0,160000.0,161250.0,161100.0,164950.0,168250.0,190000.0,180000.0,189900.0,189000.0,197250.0,217000.0,214750.0
395091,606,"Shelbyville, TN",msa,TN,209900.0,202400.0,195750.0,189000.0,187250.0,189900.0,215000.0,224700.0,237000.0,249900.0,247400.0,249900.0,240000.0,217450.0,225000.0,234950.0,259900.0,245000.0,239900.0,249150.0,235400.0,243000.0,249900.0,248500.0,229500.0,229900.0,234900.0,229900.0,229900.0,239900.0,249900.0,249900.0,267200.0,274900.0,279700.0,267400.0,269900.0,264900.0,325000.0,319950.0,357400.0,439500.0,399900.0,377450.0,367450.0,369900.0,392450.0,397500.0,385000.0,417450.0,385000.0,399900.0,398999.0,398000.0,399900.0,405000.0,399900.0,399900.0,399950.0,429950.0,399000.0,399900.0,413700.0,419900.0,414900.0,409995.0,407400.0,419950.0,449500.0,425000.0
394326,607,"Amsterdam, NY",msa,NY,134900.0,139950.0,139900.0,137000.0,143700.0,149000.0,139900.0,130000.0,129900.0,139450.0,134000.0,130000.0,129900.0,139000.0,134900.0,134900.0,149900.0,145000.0,140000.0,152900.0,159000.0,156750.0,149900.0,148000.0,142400.0,149000.0,149000.0,157200.0,149750.0,149000.0,150950.0,149000.0,149000.0,149000.0,139950.0,144950.0,154900.0,159000.0,167450.0,174900.0,155450.0,159900.0,159900.0,179000.0,179000.0,175000.0,175500.0,175500.0,187000.0,174250.0,189900.0,179000.0,179900.0,185000.0,189900.0,180000.0,185000.0,197000.0,186250.0,189900.0,189000.0,179900.0,226000.0,225000.0,202450.0,199000.0,225000.0,202000.0,199000.0,180000.0
